company_id,round_type,announced_date,amount_usd,investors,source,source_url
abacum,form_d,2025-06-12,43265849,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1856882/000192975225000003/primary_doc.xml
abacum,form_d,2021-04-20,6708060,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1856882/000185688221000001/primary_doc.xml
airhart-aeronautics,form_d,2025-12-03,4560848,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2098734/000209873425000001/primary_doc.xml
airmyne,form_d,2022-03-28,625000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1918204/000191820422000002/primary_doc.xml
alba-orbital,form_d,2021-05-14,3400004,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1861578/000186157821000001/primary_doc.xml
aleph,form_d,2023-11-28,16707000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1999166/000199916623000001/primary_doc.xml
aleph,form_d,2025-09-19,29236491,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1999166/000199916625000002/primary_doc.xml
alixia,form_d,2024-07-23,1825445,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2031477/000203147724000001/primary_doc.xml
amulet,form_d,2026-03-12,757973,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1684003/000168400326000004/primary_doc.xml
amulet,form_d,2023-02-03,0,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1962504/000137647423000091/primary_doc.xml
ananya-health,form_d,2025-04-16,200000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2064779/000114036125014017/primary_doc.xml
ananya-health,form_d,2026-05-15,404000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2064779/000114036126021530/primary_doc.xml
antwalk,form_d,2022-04-20,7531418,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1923826/000192382622000001/primary_doc.xml
aoa-dx-inc,form_d,2024-12-19,1845060,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992024000001/primary_doc.xml
aoa-dx-inc,form_d,2021-07-07,2500000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992021000001/primary_doc.xml
aoa-dx-inc,form_d,2023-07-26,23611721,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992023000001/primary_doc.xml
aoa-dx-inc,form_d,2021-11-18,2639450,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992021000002/primary_doc.xml
aoa-dx-inc,form_d,2025-10-15,8085364,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992025000002/primary_doc.xml
aragorn-ai,form_d,2025-09-30,4300000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188125000002/primary_doc.xml
aragorn-ai,form_d,2022-08-23,726000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188122000002/primary_doc.xml
aragorn-ai,form_d,2022-04-07,95000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1921881/000192188122000001/primary_doc.xml
argon-ai-inc,form_d,2024-06-13,5515000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2026471/000202647124000001/primary_doc.xml
armilla-ai,form_d,2024-01-10,2296885,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2007280/000200728024000001/primary_doc.xml
armilla-ai,form_d,2025-06-24,1335000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2007280/000200728025000001/primary_doc.xml
arpari,form_d,2022-04-05,1112000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1916928/000191692822000002/primary_doc.xml
arpari,form_d,2024-07-22,3000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1916928/000191692824000002/primary_doc.xml
arpio,form_d,2023-08-11,7977509,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1989412/000198941223000001/primary_doc.xml
artie,form_d,2021-10-12,35989554,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1886891/000188689121000001/primary_doc.xml
artie,form_d,2026-04-10,15050968,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2117704/000211770426000001/primary_doc.xml
aside,form_d,2022-01-26,17144471,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1834238/000183423822000003/primary_doc.xml
aside,form_d,2025-08-05,7000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1834238/000183423825000002/primary_doc.xml
assemble,form_d,2022-04-29,235000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781108/000178110822000002/primary_doc.xml
astek-diagnostics-inc,form_d,2023-08-28,350000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000006/primary_doc.xml
astek-diagnostics-inc,form_d,2023-10-19,1150000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000007/primary_doc.xml
astek-diagnostics-inc,form_d,2023-04-05,1000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000001/primary_doc.xml
astek-diagnostics-inc,form_d,2023-08-28,345000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000004/primary_doc.xml
astek-diagnostics-inc,form_d,2023-06-08,1155000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000002/primary_doc.xml
astek-diagnostics-inc,form_d,2025-04-28,750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249825000001/primary_doc.xml
astek-diagnostics-inc,form_d,2023-08-28,1405000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000003/primary_doc.xml
astek-diagnostics-inc,form_d,2023-08-28,150000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1972498/000197249823000005/primary_doc.xml
astraea,form_d,2022-07-22,6377629,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1716471/000171647122000001/primary_doc.xml
astraea,form_d,2020-09-08,3698806,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1716471/000171647120000001/primary_doc.xml
astraea,form_d,2020-09-08,3596430,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1716471/000171647120000002/primary_doc.xml
astrix-health,form_d,2025-12-23,2000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2093202/000209320225000002/primary_doc.xml
astroforge,form_d,2024-08-29,40821425,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2033635/000203363524000001/primary_doc.xml
astroforge,form_d,2025-01-31,42487993,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2033635/000203363525000001/primary_doc.xml
auricle,form_d,2021-11-22,350000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1894053/000189405321000001/primary_doc.xml
autarc,form_d,2024-12-31,8823627,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2050380/000205038024000001/primary_doc.xml
avora,form_d,2021-09-22,5750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1883440/000188344021000001/primary_doc.xml
axle,form_d,2022-06-23,2560500,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1934461/000193446122000002/primary_doc.xml
axle,form_d,2022-11-01,4062903,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1951844/000195184422000001/primary_doc.xml
bayesline,form_d,2026-05-15,5785478,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2133628/000213362826000001/primary_doc.xml
beam,form_d,2023-09-19,40871083,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710090/000171009023000003/primary_doc.xml
beam,form_d,2025-08-07,17500000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710090/000171009025000002/primary_doc.xml
beam,form_d,2021-03-04,79999966,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710090/000171009021000001/primary_doc.xml
beam,form_d,2024-05-15,29758307,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710090/000171009024000001/primary_doc.xml
beluga,form_d,2026-05-11,30000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2134448/000213444826000001/primary_doc.xml
beyond-aero,form_d,2024-04-18,23860774,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2019023/000201902324000001/primary_doc.xml
bite-ninja,form_d,2021-12-08,650000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1897428/000189742821000001/primary_doc.xml
bite-ninja,form_d,2021-12-08,3462000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1897428/000189742821000002/primary_doc.xml
bite-ninja,form_d,2022-05-09,11295000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1897428/000189742822000001/primary_doc.xml
blee,form_d,2020-11-10,130500,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1814569/000181456920000002/primary_doc.xml
blee,form_d,2020-06-11,225000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1814569/000181456920000001/primary_doc.xml
bluebook,form_d,2021-07-21,0,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1874151/000187415121000002/primary_doc.xml
bluejay,form_d,2022-02-15,7541752,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1774154/000177415422000002/primary_doc.xml
bluejay,form_d,2020-10-02,1475000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1774154/000177415420000001/primary_doc.xml
boostly,form_d,2025-02-11,10000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1966127/000196612725000004/primary_doc.xml
breadcrumbs-io,form_d,2021-07-19,5417476,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1861592/000186159221000001/primary_doc.xml
brite,form_d,2022-10-28,220000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1947147/000194714722000001/primary_doc.xml
caire-health,form_d,2023-02-10,6659854,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1964926/000196492623000001/primary_doc.xml
callback,form_d,2025-01-27,545000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2034760/000203476025000001/primary_doc.xml
callback,form_d,2024-08-22,1961500,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2034760/000203476024000001/primary_doc.xml
campfire-2,form_d,2021-08-31,2500000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1867513/000186751321000002/primary_doc.xml
campfire-2,form_d,2021-06-14,1334998,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1867513/000186751321000001/primary_doc.xml
capi-money,form_d,2023-06-16,1522499,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1980907/000198090723000005/primary_doc.xml
careerist,form_d,2021-08-25,1390000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1814514/000181451421000002/primary_doc.xml
careforce,form_d,2025-11-07,2676790,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2095881/000209588125000001/primary_doc.xml
carrot-labs,form_d,2024-07-03,600000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029275/000202927524000001/primary_doc.xml
carrot-labs,form_d,2025-05-16,600000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029275/000202927525000003/primary_doc.xml
cash-flow-portal,form_d,2023-05-15,1475000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1895817/000193036223000002/primary_doc.xml
cash-flow-portal,form_d,2021-11-29,3765000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1895817/000189581721000001/primary_doc.xml
cash-flow-portal,form_d,2025-03-24,4658000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1895817/000189581725000001/primary_doc.xml
char,form_d,2024-10-18,675000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2041771/000204177124000002/primary_doc.xml
charge-robotics,form_d,2024-08-02,16999997,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2032579/000203257924000001/primary_doc.xml
chrt,form_d,2026-01-29,1453000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2107747/000210774726000001/primary_doc.xml
cinder-2,form_d,2022-12-05,12755318,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1955803/000195580322000001/primary_doc.xml
circular,form_d,2021-12-10,1421289,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1897223/000189722321000001/primary_doc.xml
clay,form_d,2025-09-10,99999487,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000003/primary_doc.xml
clay,form_d,2025-01-30,39999919,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000001/primary_doc.xml
clay,form_d,2025-06-13,348540,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000002/primary_doc.xml
clear,form_d,2021-05-28,59999933,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1595806/000159580621000002/primary_doc.xml
clear,form_d,2020-05-19,39538382,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1595806/000159580620000002/primary_doc.xml
codingal,form_d,2021-04-15,22355,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1856920/000185692021000001/primary_doc.xml
cofactr,form_d,2024-10-15,17208303,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988324000001/primary_doc.xml
cofactr,form_d,2023-10-06,9091669,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988323000002/primary_doc.xml
cofactr,form_d,2021-08-24,112500,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988321000002/primary_doc.xml
complete,form_d,2020-03-06,100000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710931/000171093120000003/primary_doc.xml
confido,form_d,2025-12-10,4460000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029111/000202911125000002/primary_doc.xml
confido,form_d,2024-07-10,1524998,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029111/000202911124000001/primary_doc.xml
copycat,form_d,2024-01-19,80000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1918648/000191864824000001/primary_doc.xml
corgea,form_d,2023-06-14,175000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1981261/000198126123000001/primary_doc.xml
coverage-cat,form_d,2023-03-07,4000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1947379/000194737923000001/primary_doc.xml
coverage-cat,form_d,2022-09-22,1640000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1947379/000194737922000001/primary_doc.xml
craze,form_d,2022-08-31,500000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1944794/000110465922096188/primary_doc.xml
craze,form_d,2022-11-22,2219970,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1944794/000110465922121254/primary_doc.xml
cyble,form_d,2023-08-08,21489912,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1922682/000192268223000001/primary_doc.xml
devyce,form_d,2023-03-29,2609929,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1967123/000196712323000001/primary_doc.xml
dialect-2,form_d,2022-04-14,4959739,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1921628/000192162822000002/primary_doc.xml
diligencesquared-inc,form_d,2025-12-16,5405000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2100275/000210027525000001/primary_doc.xml
dioptra,form_d,2022-08-05,460000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1936498/000193649822000001/primary_doc.xml
disclo,form_d,2022-12-01,6750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1951823/000110465922123600/primary_doc.xml
diversion,form_d,2022-06-02,7425000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1931650/000193165022000001/primary_doc.xml
djamo,form_d,2022-12-05,13436987,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239422000002/primary_doc.xml
djamo,form_d,2024-11-19,13010402,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239424000003/primary_doc.xml
djamo,form_d,2023-11-27,2050000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239423000002/primary_doc.xml
djamo,form_d,2024-03-07,3162000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239424000001/primary_doc.xml
docket,form_d,2023-10-03,5349992,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1994773/000199477323000001/primary_doc.xml
dyte,form_d,2021-06-30,3720826,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869201/000186920121000001/primary_doc.xml
ellipsis,form_d,2021-07-30,0,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1572980/000157298021000001/primary_doc.xml
ember,form_d,2023-11-17,19611889,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1636781/000163678123000001/primary_doc.xml
emergent,form_d,2026-02-26,7999997,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2113336/000211333626000001/primary_doc.xml
epsilon,form_d,2021-12-30,11492770,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1899946/000189994621000001/primary_doc.xml
epsilon3-inc,form_d,2022-07-12,15000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1936216/000193621622000001/primary_doc.xml
estoca,form_d,2022-12-23,2619996,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1959664/000195966422000002/primary_doc.xml
evidence,form_d,2021-09-30,75000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1884594/000188459421000001/primary_doc.xml
evidently-ai,form_d,2021-09-16,1024575,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1881982/000188198221000001/primary_doc.xml
examedi,form_d,2022-07-08,22499000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1937324/000193732422000001/primary_doc.xml
exin-therapeutics,form_d,2026-02-10,2162300,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2109179/000210917926000001/primary_doc.xml
extend,form_d,2021-10-13,17341359,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000004/primary_doc.xml
extend,form_d,2021-10-13,389517,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000005/primary_doc.xml
extend,form_d,2021-06-29,49999975,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000002/primary_doc.xml
extend,form_d,2022-02-08,20405184,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958222000001/primary_doc.xml
extend,form_d,2021-05-20,144639960,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000001/primary_doc.xml
extend,form_d,2020-09-11,40024983,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958220000003/primary_doc.xml
extend,form_d,2021-08-23,16304664,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000003/primary_doc.xml
fable,form_d,2021-12-21,14999989,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1900427/000156761921022358/primary_doc.xml
faction,form_d,2020-07-07,5015808,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1575761/000157576120000002/primary_doc.xml
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000002/primary_doc.xml
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000003/primary_doc.xml
fathom,form_d,2021-05-27,92000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1864274/000186427421000002/primary_doc.xml
fathom,form_d,2023-01-18,46296079,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1781048/000178104823000001/primary_doc.xml
fathom,form_d,2022-03-09,403000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1864274/000186427422000001/primary_doc.xml
